loyverse_item_id,loyverse_name,qbo_item_id,qbo_name,usage_count,selection_reason
1f33e83c-2f19-406b-a9fc-520f3d6aeca0,Minced Meat,52,Minced Meat,43,highest_transaction_usage
e239885a-62d6-45b2-a34c-56906ba73f6d,Minced Pork,51,Minced Pork,9,highest_transaction_usage
da2916b5-9212-483c-9ca4-18c45ed55b8d,Oxtail,50,Oxtail,18,highest_transaction_usage
3b056213-a896-4f6d-9c15-557ae4822145,Pig Ears,49,Pig Ears,49,highest_transaction_usage
1caef484-ea5c-4e72-8ee0-c8888c5f0d77,Pig Feet,46,Pig Feet,55,highest_transaction_usage
b1b70e8d-08a8-49c9-892e-99d196e7604a,Pig Snout,46,Pig Snout,55,highest_transaction_usage
f327813b-1da4-4e23-8d55-8353d847709b,Pig Tongue,45,Pig Tongue,25,highest_transaction_usage
a787375e-1cfc-4a52-9921-db5e27e081bc,Pork Flap,49,Pork Flap,49,highest_transaction_usage
97d77112-cf79-4eb1-a057-9ec36f3ddf75,Pork Hocks,43,Pork Hocks,28,highest_transaction_usage
83eabe3e-a02a-4d36-87a5-b748063987ed,Pork Leg Chops,51,Pork Leg Chops,9,highest_transaction_usage
cfbfd6ac-b074-4475-be94-f1c02b65a7a7,Pork Loin Chops,53,Pork Loin Chops,75,highest_transaction_usage
540200c6-3bd5-46ca-8383-0996cca8fce8,Pork Riblets,102,Pork Riblets,0,no_usage_found_fallback_lowest_id
a16f6b18-75bb-4bd2-8d2b-e3872835545d,Pork Shoulder Chops,54,Pork Shoulder Chops,62,highest_transaction_usage
cd5abac5-3e43-4010-a54b-6dfe7ef3d234,Pork Stew,55,Pork Stew,58,highest_transaction_usage
36231aae-4471-4947-a6e1-b6a931beac6a,Ribeye Steak - Local,30,Ribeye Steak - Local,12,highest_transaction_usage
f444eb84-775c-4580-a202-2562cfc8a1f4,Riblets,29,Riblets,17,highest_transaction_usage
0cd89876-4f46-4c2e-b3d4-bfbed262b861,Sail Fish,65,Sail Fish,5,highest_transaction_usage
3b151133-55e1-4fae-a6cf-a62deb3831aa,Salt Beef,37,Salt Beef,83,highest_transaction_usage
467120ab-2712-4278-b2cd-1225a77068bd,Salted Pigtails,28,Salted Pigtails,62,highest_transaction_usage
2b765073-8468-4a50-bb5b-6f2e9a464b65,Seasoning,36,Seasoning,75,highest_transaction_usage
5b5df5b2-7e2f-4ed8-95bc-6c7caf0ad61c,Spareribs - Local,40,Spareribs - Local,23,highest_transaction_usage
34e20141-c3f7-4a73-a0cb-fb58e12e1eff,Spareribs - Miss cuts,33,Spareribs - Miss cuts,24,highest_transaction_usage
782da917-d5fd-4c82-b7a6-1bcc970f5fcd,Spareribs Imported,27,Spareribs Imported,34,highest_transaction_usage
4d7048af-cc34-4d56-b3e9-4dadc8f646d1,Striploin Steak - Local,32,Striploin Steak - Local,29,highest_transaction_usage
ab121f85-8a7f-47ca-87c9-f22d51cf2a7d,Sword Fish,26,Sword Fish,40,highest_transaction_usage
6ee596a7-9523-472a-8074-e07102d552df,Turkey Breast Boneless,25,Turkey Breast Boneless,167,highest_transaction_usage
38060e01-cd11-47e4-bcf4-c2f484e382f7,Turkey Necks,24,Turkey Necks,55,highest_transaction_usage
f35b9a20-f48d-44a4-8efa-553a31f2844a,Turkey Wings,63,Turkey Wings,86,highest_transaction_usage
ad4de7e5-23c3-46f9-b999-9440f8c05329,Whole Chicken,3,Whole Chicken,50,highest_transaction_usage
68976520-bb38-441c-bc79-179c44449907,Wholesale Pork lean meat,20,Wholesale Pork lean meat,66,highest_transaction_usage
d2cfeb96-586f-4fb8-a928-83e45853d621,chicken thighs,88,chicken thighs,15,highest_transaction_usage
6ed4e51e-3f33-4c1c-bc7c-f9e97449e830,eggs each,69,eggs each,15,highest_transaction_usage
a34a28d9-9e3e-4462-80f5-480cc25ca7a5,filleted snapper,35,filleted snapper,35,highest_transaction_usage
